country_id,latitude,longitude,timezone
BOL,-16.7137022,-64.6729892,-4
BRA,-8.4318965,-55.7574731,-4
BRB,13.1730563,-59.5630573,-4
BRN,4.497734,114.6058091,8
BTN,27.3952669,90.3759529,6
BVT,-54.4247163,3.3476584,1
BWA,-22.1852958,23.7585699,2
CAF,6.5930857,20.3903963,1
IRQ,33.140147,39.2212484,3
LBN,33.8684807,34.7261666,2
TUN,33.9038227,5.0580102,1
AFG,33.93911,67.709953,4.5
SYR,34.7942233,36.7535536,3
CYP,35.1636108,32.3014245,2
KOR,35.7982003,125.6296281,9
MLT,35.9423686,14.2382647,1
GIB,36.1295042,-5.3883195,1
USA,36.2060437,-113.7516555,-7
GRC,38.0602703,19.9905028,2
TJK,38.8366156,68.9992659,5
TKM,38.8772981,55.0110922,5
TUR,39.001064,30.6767824,3
PRT,39.6934003,-8.6088814,0
ESP,39.858678,-12.7162259,1
CHN,39.9040199,116.4003868,8
PRK,40.0223683,126.9685666,9
ARM,40.3150253,44.5113475,4
AZE,40.3890328,47.9541868,4
ITA,40.9399421,3.7213971,1
MKD,41.0982379,19.992659,1
ALB,41.1785003,19.5698721,1
KGZ,41.2013922,72.5027715,6
UZB,41.2934335,60.0734232,5
VAT,41.9038163,12.4476731,1
GEO,42.2989184,41.114397,4
AND,42.5575593,1.5618451,1
BGR,42.6376305,21.0538097,2
MNE,42.6884981,18.2722203,1
UNK,42.801388,20.7090016,1
MCO,43.7378501,-11.6443014,1
SMR,43.9430502,12.4601496,1
SRB,44.1888339,18.6676915,1
HRV,44.4248087,14.1630175,1
BIH,44.5611701,17.6523903,1
ROU,45.8007403,"24.9647277,",2
FRA,45.8654624,-6.9375216,1
SVN,46.0531022,14.5330791,1
MNG,46.5126619,94.8563173,8
CHE,46.8131873,8.22421,1
MDA,46.9578286,26.1470592,2
SPM,46.9592163,-56.3287715,-2
HUN,47.1392608,17.2621035,1
LIE,47.159333,9.4135514,1
AUT,47.4908524,13.8865935,1
KAZ,47.6541881,57.9307757,5
UKR,48.2481168,26.6812765,2
SVK,48.7085068,19.3566632,1
JEY,49.1650692,-2.4778082,0
GGY,49.5787845,-3.0959661,0
CZE,49.7167154,10.9796066,1
LUX,49.8139484,5.5729011,1
BEL,50.4592721,4.545139,1
DEU,51.0895752,5.9592921,1
NLD,52.1691007,5.6368028,1
POL,52.8955318,18.7092429,1
BLR,53.2661783,27.8634547,3
IRL,53.3623829,-10.3417524,0
GBR,54.2184675,-13.4309349,0
IMN,54.2274814,-4.8523177,0
LTU,55.1529791,21.6408925,2
DNK,56.1485448,7.0494248,1
LVA,56.9923579,25.9083091,2
EST,58.5922562,20.4398752,2
CAN,59.3053648,-101.982668,-4
ALA,60.2738474,20.061361,2
FRO,61.8948486,-8.0778455,0
NOR,61.9186251,9.3623095,1
RUS,62.1811235,98.9137579,8
SWE,62.950935,16.4316991,1
FIN,64.5126492,16.9287065,2
ISL,64.7967357,-23.7289893,0
GRL,68.5252731,-66.2412539,-3
SJM,77.916778,17.853204,1
